Energy_Wh,raw_voltage_mean,isotonic_voltage
158.3971,30.796,30.807833333333335
158.6183,30.806,30.807833333333335
158.8397,30.827,30.807833333333335
159.061,30.816,30.807833333333335
159.2828,30.806,30.806
159.5067,30.796,30.799333333333333
159.7301,30.796,30.799333333333333
159.9513,30.806,30.799333333333333
160.1758,30.796,30.796
160.401,30.776,30.781
160.6218,30.786,30.781
160.8466,30.766,30.776
161.067,30.776,30.776
161.2915,30.756,30.776
161.516,30.796,30.776
161.7412,30.776,30.776
161.962,30.786,30.776
162.1868,30.766,30.771
162.4073,30.776,30.771
162.6317,30.756,30.7635
162.8527,30.766,30.7635
163.0733,30.766,30.7635
163.2943,30.766,30.7635
163.5184,30.746,30.76
163.7387,30.756,30.76
163.9597,30.766,30.76
164.1803,30.766,30.76
164.4013,30.766,30.76
164.6254,30.746,30.750999999999998
164.8457,30.756,30.750999999999998
165.07,30.736,30.741
165.2903,30.746,30.741
165.5105,30.736,30.736
165.7306,30.736,30.736
165.9505,30.736,30.736
166.1714,30.716,30.734333333333336
166.3957,30.736,30.734333333333336
166.6159,30.746,30.734333333333336
166.8361,30.736,30.734333333333336
167.0563,30.736,30.734333333333336
167.2762,30.736,30.734333333333336
167.497,30.716,30.721
167.7169,30.726,30.721
167.9369,30.716,30.716
168.1569,30.716,30.716
168.3766,30.706,30.714
168.5968,30.706,30.714
168.8166,30.726,30.714
169.0367,30.716,30.714
169.2567,30.716,30.714
169.4764,30.706,30.706
169.6966,30.706,30.706
169.9211,30.686,30.691000000000003
170.1416,30.696,30.691000000000003
170.3622,30.686,30.686
170.5866,30.666,30.679333333333336
170.8107,30.666,30.679333333333336
171.031,30.676,30.679333333333336
171.2555,30.686,30.679333333333336
171.4759,30.696,30.679333333333336
171.6966,30.686,30.679333333333336
171.9209,30.666,30.66933333333333
172.145,30.666,30.66933333333333
172.3653,30.676,30.66933333333333
172.5856,30.666,30.666
172.806,30.666,30.666
173.0305,30.646,30.652666666666665
173.2529,30.656,30.652666666666665
173.4771,30.636,30.652666666666665
173.6969,30.646,30.652666666666665
173.9171,30.666,30.652666666666665
174.1376,30.666,30.652666666666665
174.3621,30.646,30.651
174.5844,30.656,30.651
174.8086,30.636,30.6435
175.0284,30.646,30.6435
175.2487,30.646,30.6435
175.4691,30.646,30.6435
175.6886,30.636,30.637999999999998
175.9086,30.636,30.637999999999998
176.1282,30.626,30.637999999999998
176.3486,30.646,30.637999999999998
176.5689,30.646,30.637999999999998
176.7884,30.636,30.636
177.0084,30.636,30.636
177.228,30.626,30.626
177.448,30.626,30.626
177.6684,30.616,30.616
177.8887,30.606,30.607666666666663
178.1094,30.606,30.607666666666663
178.3302,30.596,30.607666666666663
178.5502,30.596,30.607666666666663
178.7701,30.626,30.607666666666663
178.9905,30.616,30.607666666666663
179.2109,30.606,30.606
179.4315,30.606,30.606
179.6523,30.596,30.596
179.8723,30.596,30.596
180.0942,30.585,30.585
180.3154,30.575,30.575
180.5363,30.575,30.575
180.7577,30.565,30.573
180.9792,30.565,30.573
181.201,30.585,30.573
181.4222,30.575,30.573
181.6432,30.575,30.573
181.8646,30.565,30.565
182.086,30.565,30.565
182.3071,30.555,30.555
182.5282,30.555,30.555
182.7489,30.545,30.545
182.9739,30.525,30.541666666666668
183.1951,30.535,30.541666666666668
183.4158,30.535,30.541666666666668
183.6368,30.555,30.541666666666668
183.8579,30.555,30.541666666666668
184.0786,30.545,30.541666666666668
184.3036,30.525,30.5325
184.5249,30.535,30.5325
184.7455,30.535,30.5325
184.9664,30.535,30.5325
185.187,30.525,30.525
185.4078,30.515,30.520999999999997
185.628,30.515,30.520999999999997
185.8488,30.515,30.520999999999997
186.0698,30.535,30.520999999999997
186.2903,30.525,30.520999999999997
186.5111,30.515,30.515
186.7314,30.515,30.515
186.9521,30.515,30.515
187.1726,30.505,30.505
187.3927,30.505,30.505
187.6131,30.495,30.495
187.8335,30.495,30.495
188.0538,30.485,30.495
188.2738,30.485,30.495
188.4942,30.505,30.495
188.7144,30.505,30.495
188.9348,30.495,30.495
189.1551,30.495,30.495
189.3754,30.485,30.485
189.5955,30.485,30.485
189.8154,30.475,30.475
190.0356,30.475,30.475
190.2555,30.465,30.467000000000002
190.4754,30.465,30.467000000000002
190.6952,30.455,30.467000000000002
190.9151,30.475,30.467000000000002
191.1353,30.475,30.467000000000002
191.3552,30.465,30.465
191.5751,30.465,30.465
191.7949,30.455,30.455
192.0146,30.445,30.445
192.2381,30.435,30.439999999999998
192.4573,30.445,30.439999999999998
192.6764,30.435,30.435
192.8995,30.415,30.433333333333334
193.1185,30.425,30.433333333333334
193.3383,30.445,30.433333333333334
193.5618,30.435,30.433333333333334
193.781,30.445,30.433333333333334
194.0001,30.435,30.433333333333334
194.2232,30.415,30.42
194.4422,30.425,30.42
194.6612,30.415,30.415
194.8801,30.415,30.415
